event_id,date,away_team,away_player,away_score,home_team,home_player,home_score,total_score,league,home_str,away_str,players,odd_over,odd_under,handicap,prob_over,prob_under,ev_over,ev_under,bet_type,bet_odd,bet_prob,bet_ev,hot_ev,minimum_line,minimum_odd,time_sent,lambda_pred,ended,raw_score,profit,result,canceled,sent,message_id,chat_id,edited,result_emoji,time_range,saved_on_excel,month,totally_processed,league_id,bet_initial
9823374,2025-04-16 00:04:00,Ukraine,hotShot,3,Ghana,Boulevard,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9823375,2025-04-16 00:04:00,Czechia,Kray,2,USA,Kodak,5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9823376,2025-04-16 00:06:00,Fiorentina,exhausted,0,Napoli,jAke,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9823371,2025-04-16 00:06:00,Roma,panch,2,Bologna,GanGsta_Panda,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9823437,2025-04-16 00:16:00,USA,Kodak,5,Ukraine,hotShot,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9823438,2025-04-16 00:16:00,Ghana,Boulevard,3,Denmark,LaikingDast,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9823431,2025-04-16 00:18:00,Bologna,GanGsta_Panda,2,Fiorentina,exhausted,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9823432,2025-04-16 00:18:00,Napoli,jAke,1,Juventus,Salfour,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9823440,2025-04-16 00:28:00,Ukraine,hotShot,2,Czechia,Kray,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9823439,2025-04-16 00:28:00,Denmark,LaikingDast,1,USA,Kodak,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9823434,2025-04-16 00:40:00,Bolivar,panch,3,Penarol,exhausted,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9823433,2025-04-16 00:40:10,River Plate,GanGsta_Panda,4,Nacional,Salfour,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9823436,2025-04-16 00:52:00,Colo Colo,jAke,4,River Plate,GanGsta_Panda,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9823435,2025-04-16 00:52:00,Nacional,Salfour,2,Bolivar,panch,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9823531,2025-04-16 01:00:00,Liverpool,LaikingDast,3,Bayern,Kray,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9823537,2025-04-16 01:00:00,PSG,Boulevard,3,Real Madrid,Kodak,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9823536,2025-04-16 01:04:00,Penarol,exhausted,4,Nacional,Salfour,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9823535,2025-04-16 01:04:00,Bolivar,panch,2,Colo Colo,jAke,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9823538,2025-04-16 01:12:00,Bayern,Kray,2,PSG,Boulevard,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9823539,2025-04-16 01:12:00,Barcelona,hotShot,2,Liverpool,LaikingDast,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9823559,2025-04-16 01:16:00,Colo Colo,jAke,0,Penarol,exhausted,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9823560,2025-04-16 01:16:00,River Plate,GanGsta_Panda,3,Bolivar,panch,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9823541,2025-04-16 01:24:00,Real Madrid,Kodak,5,Bayern,Kray,3,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9823540,2025-04-16 01:24:00,PSG,Boulevard,4,Barcelona,hotShot,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9823562,2025-04-16 01:28:03,Nacional,Salfour,4,Colo Colo,jAke,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9823561,2025-04-16 01:28:06,Penarol,exhausted,1,River Plate,GanGsta_Panda,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9823564,2025-04-16 01:36:09,Liverpool,LaikingDast,2,PSG,Boulevard,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9823563,2025-04-16 01:36:13,Barcelona,hotShot,2,Real Madrid,Kodak,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9823582,2025-04-16 01:40:00,Nacional,Salfour,4,River Plate,GanGsta_Panda,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9823583,2025-04-16 01:40:00,Penarol,exhausted,6,Bolivar,panch,2,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9823689,2025-04-16 01:48:00,Bayern,Kray,6,Barcelona,hotShot,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9823688,2025-04-16 01:48:00,Real Madrid,Kodak,0,Liverpool,LaikingDast,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9823694,2025-04-16 01:52:00,Bolivar,panch,2,Nacional,Salfour,5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9823695,2025-04-16 01:52:00,River Plate,GanGsta_Panda,0,Colo Colo,jAke,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9823690,2025-04-16 02:00:00,Bayern,Kray,1,Liverpool,LaikingDast,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9823691,2025-04-16 02:00:00,Real Madrid,Kodak,2,PSG,Boulevard,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9823696,2025-04-16 02:04:00,Colo Colo,jAke,2,Bolivar,panch,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9823697,2025-04-16 02:04:00,Nacional,Salfour,5,Penarol,exhausted,3,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9823693,2025-04-16 02:12:00,Liverpool,LaikingDast,2,Barcelona,hotShot,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9823692,2025-04-16 02:12:00,PSG,Boulevard,1,Bayern,Kray,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9823725,2025-04-16 02:16:00,Penarol,exhausted,1,Colo Colo,jAke,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9823726,2025-04-16 02:16:00,Bolivar,panch,2,River Plate,GanGsta_Panda,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9823730,2025-04-16 02:24:00,Bayern,Kray,2,Real Madrid,Kodak,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9823729,2025-04-16 02:24:00,Barcelona,hotShot,3,PSG,Boulevard,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9823727,2025-04-16 02:28:00,River Plate,GanGsta_Panda,5,Penarol,exhausted,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9823728,2025-04-16 02:28:00,Colo Colo,jAke,4,Nacional,Salfour,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9823760,2025-04-16 02:36:00,Real Madrid,Kodak,4,Barcelona,hotShot,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9823761,2025-04-16 02:36:00,PSG,Boulevard,3,Liverpool,LaikingDast,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9823762,2025-04-16 02:48:00,Liverpool,LaikingDast,3,Real Madrid,Kodak,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9823763,2025-04-16 02:48:00,Barcelona,hotShot,2,Bayern,Kray,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9823805,2025-04-16 03:00:00,PSV,GanGsta_Panda,2,Dortmund,Salfour,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9823806,2025-04-16 03:00:00,Arsenal,panch,7,A.Madrid,exhausted,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9823880,2025-04-16 03:10:00,Liverpool,Boulevard,1,Arsenal,Kodak,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9823879,2025-04-16 03:10:00,Chelsea,LaikingDast,1,Man City,Kray,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9823876,2025-04-16 03:12:00,Bayer 04,jAke,2,PSV,GanGsta_Panda,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9823875,2025-04-16 03:12:00,Dortmund,Salfour,1,Arsenal,panch,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9823881,2025-04-16 03:22:00,Man City,Kray,1,Liverpool,Boulevard,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9823882,2025-04-16 03:22:00,Man Utd,hotShot,2,Chelsea,LaikingDast,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9823877,2025-04-16 03:24:00,Arsenal,panch,3,Bayer 04,jAke,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9823878,2025-04-16 03:24:00,A.Madrid,exhausted,4,Dortmund,Salfour,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9823884,2025-04-16 03:34:00,Arsenal,Kodak,3,Man City,Kray,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9823883,2025-04-16 03:34:00,Liverpool,Boulevard,1,Man Utd,hotShot,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9824122,2025-04-16 03:34:30,PSV,GanGsta_Panda,3,Arsenal,panch,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9824007,2025-04-16 03:36:00,Bayer 04,jAke,3,A.Madrid,exhausted,4,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9824065,2025-04-16 03:46:00,Man Utd,hotShot,1,Arsenal,Kodak,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9824066,2025-04-16 03:46:00,Chelsea,LaikingDast,2,Liverpool,Boulevard,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9824067,2025-04-16 03:48:00,A.Madrid,exhausted,3,PSV,GanGsta_Panda,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9824064,2025-04-16 03:48:00,Dortmund,Salfour,3,Bayer 04,jAke,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9824071,2025-04-16 03:58:00,Man City,Kray,1,Man Utd,hotShot,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9824070,2025-04-16 03:58:00,Arsenal,Kodak,1,Chelsea,LaikingDast,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9824068,2025-04-16 04:00:00,Dortmund,Salfour,1,PSV,GanGsta_Panda,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9824069,2025-04-16 04:00:00,A.Madrid,exhausted,3,Arsenal,panch,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9824083,2025-04-16 04:10:00,Man City,Kray,2,Chelsea,LaikingDast,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9824084,2025-04-16 04:10:00,Arsenal,Kodak,1,Liverpool,Boulevard,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9824079,2025-04-16 04:12:00,Arsenal,panch,4,Dortmund,Salfour,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9824080,2025-04-16 04:12:00,PSV,GanGsta_Panda,3,Bayer 04,jAke,4,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9824086,2025-04-16 04:22:00,Chelsea,LaikingDast,1,Man Utd,hotShot,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9824085,2025-04-16 04:22:00,Liverpool,Boulevard,2,Man City,Kray,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9824081,2025-04-16 04:24:00,Bayer 04,jAke,1,Arsenal,panch,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9824082,2025-04-16 04:24:00,Dortmund,Salfour,1,A.Madrid,exhausted,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9824096,2025-04-16 04:34:15,Man City,Kray,5,Arsenal,Kodak,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9824095,2025-04-16 04:34:19,Man Utd,hotShot,2,Liverpool,Boulevard,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9824008,2025-04-16 04:36:00,Arsenal,panch,0,PSV,GanGsta_Panda,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9824094,2025-04-16 04:36:00,A.Madrid,exhausted,3,Bayer 04,jAke,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9824120,2025-04-16 04:46:00,Arsenal,Kodak,3,Man Utd,hotShot,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9824121,2025-04-16 04:46:00,Liverpool,Boulevard,1,Chelsea,LaikingDast,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9824147,2025-04-16 04:48:00,PSV,GanGsta_Panda,0,A.Madrid,exhausted,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9824148,2025-04-16 04:48:00,Bayer 04,jAke,5,Dortmund,Salfour,5,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9824150,2025-04-16 04:58:00,Man Utd,hotShot,1,Man City,Kray,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9824149,2025-04-16 04:58:00,Chelsea,LaikingDast,2,Arsenal,Kodak,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9824236,2025-04-16 05:00:00,France,Jekunam,1,Argentina,Bomb1to,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9824235,2025-04-16 05:00:00,Spain,Arcos,1,Germany,dm1trena,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9824237,2025-04-16 05:12:00,Germany,dm1trena,2,France,Jekunam,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9824238,2025-04-16 05:12:00,Italy,Wboy,2,Spain,Arcos,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9824338,2025-04-16 05:20:58,France,Jekunam,3,Italy,Wboy,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9824343,2025-04-16 05:21:07,Argentina,Bomb1to,4,Germany,dm1trena,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9824345,2025-04-16 05:32:44,Spain,Arcos,2,France,Jekunam,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9824344,2025-04-16 05:33:04,Italy,Wboy,0,Argentina,Bomb1to,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9824243,2025-04-16 05:48:00,Germany,dm1trena,5,Italy,Wboy,5,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9824250,2025-04-16 05:48:00,Argentina,Bomb1to,4,Spain,Arcos,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9824274,2025-04-16 06:00:00,Germany,dm1trena,5,Spain,Arcos,4,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9824275,2025-04-16 06:00:00,Argentina,Bomb1to,0,France,Jekunam,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9824331,2025-04-16 06:12:00,France,Jekunam,2,Germany,dm1trena,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9824332,2025-04-16 06:12:00,Spain,Arcos,2,Italy,Wboy,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9824239,2025-04-16 06:24:00,Italy,Wboy,5,France,Jekunam,3,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9824240,2025-04-16 06:24:00,Germany,dm1trena,3,Argentina,Bomb1to,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9824241,2025-04-16 06:36:00,Argentina,Bomb1to,3,Italy,Wboy,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9824242,2025-04-16 06:36:00,France,Jekunam,1,Spain,Arcos,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9824383,2025-04-16 06:48:00,Spain,Arcos,4,Argentina,Bomb1to,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9824384,2025-04-16 06:48:00,Italy,Wboy,5,Germany,dm1trena,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9824397,2025-04-16 07:10:00,Fiorentina,Jekunam,3,Bologna,Bomb1to,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9824396,2025-04-16 07:10:00,Juventus,Arcos,1,Roma,dm1trena,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9824479,2025-04-16 07:20:32,Roma,dm1trena,2,Fiorentina,Jekunam,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9824480,2025-04-16 07:20:40,Napoli,Wboy,1,Juventus,Arcos,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9824658,2025-04-16 07:33:09,Fiorentina,Jekunam,4,Napoli,Wboy,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9824659,2025-04-16 07:33:27,Bologna,Bomb1to,4,Roma,dm1trena,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9824854,2025-04-16 07:44:26,Napoli,Wboy,5,Bologna,Bomb1to,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9824502,2025-04-16 07:46:00,Juventus,Arcos,3,Fiorentina,Jekunam,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9824855,2025-04-16 07:57:29,Bologna,Bomb1to,3,Juventus,Arcos,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9824856,2025-04-16 07:57:43,Roma,dm1trena,4,Napoli,Wboy,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9824631,2025-04-16 08:10:13,Roma,dm1trena,4,Juventus,Arcos,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9824630,2025-04-16 08:10:16,Bologna,Bomb1to,3,Fiorentina,Jekunam,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9824633,2025-04-16 08:22:00,Fiorentina,Jekunam,4,Roma,dm1trena,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9824634,2025-04-16 08:22:00,Juventus,Arcos,4,Napoli,Wboy,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9824499,2025-04-16 08:34:00,Napoli,Wboy,3,Fiorentina,Jekunam,5,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9824500,2025-04-16 08:34:00,Roma,dm1trena,3,Bologna,Bomb1to,4,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9824638,2025-04-16 08:46:00,Fiorentina,Jekunam,3,Juventus,Arcos,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9824501,2025-04-16 08:46:00,Bologna,Bomb1to,3,Napoli,Wboy,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9824511,2025-04-16 08:58:00,Napoli,Wboy,2,Roma,dm1trena,5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9824510,2025-04-16 08:58:00,Juventus,Arcos,5,Bologna,Bomb1to,4,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9825012,2025-04-16 09:30:00,Netherlands,Jekunam,4,Croatia,Bomb1to,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9825011,2025-04-16 09:30:00,Portugal,Arcos,2,Sweden,dm1trena,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9825013,2025-04-16 09:42:00,Sweden,dm1trena,1,Netherlands,Jekunam,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9825014,2025-04-16 09:42:00,Mexico,Wboy,0,Portugal,Arcos,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9825016,2025-04-16 09:54:00,Croatia,Bomb1to,3,Sweden,dm1trena,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9825015,2025-04-16 09:54:00,Netherlands,Jekunam,7,Mexico,Wboy,3,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9825017,2025-04-16 10:06:00,Mexico,Wboy,2,Croatia,Bomb1to,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9825018,2025-04-16 10:06:00,Portugal,Arcos,1,Netherlands,Jekunam,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9825133,2025-04-16 10:18:00,Sweden,dm1trena,3,Mexico,Wboy,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9825132,2025-04-16 10:18:00,Croatia,Bomb1to,3,Portugal,Arcos,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9825134,2025-04-16 10:30:00,Sweden,dm1trena,4,Portugal,Arcos,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9825135,2025-04-16 10:30:20,Croatia,Bomb1to,4,Netherlands,Jekunam,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9825294,2025-04-16 10:42:00,Portugal,Arcos,2,Mexico,Wboy,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9825293,2025-04-16 10:42:00,Netherlands,Jekunam,3,Sweden,dm1trena,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9825295,2025-04-16 10:54:00,Sweden,dm1trena,4,Croatia,Bomb1to,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9825364,2025-04-16 10:54:00,Mexico,Wboy,6,Netherlands,Jekunam,2,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9825444,2025-04-16 11:06:00,Netherlands,Jekunam,4,Portugal,Arcos,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9825443,2025-04-16 11:06:00,Croatia,Bomb1to,6,Mexico,Wboy,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9825445,2025-04-16 11:18:00,Portugal,Arcos,4,Croatia,Bomb1to,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9825446,2025-04-16 11:18:00,Mexico,Wboy,6,Sweden,dm1trena,4,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9825772,2025-04-16 11:35:52,Lille,Arcos,2,Marseille,dm1trena,5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9825773,2025-04-16 11:36:16,Monaco,Jekunam,3,PSG,Bomb1to,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9825574,2025-04-16 11:52:00,Lyon,Wboy,3,Lille,Arcos,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9825573,2025-04-16 11:52:00,Marseille,dm1trena,3,Monaco,Jekunam,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9825605,2025-04-16 12:04:00,PSG,Bomb1to,2,Marseille,dm1trena,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9825604,2025-04-16 12:04:00,Monaco,Jekunam,3,Lyon,Wboy,4,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9825607,2025-04-16 12:16:00,Lille,Arcos,6,Monaco,Jekunam,4,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9825606,2025-04-16 12:16:00,Lyon,Wboy,3,PSG,Bomb1to,5,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9825610,2025-04-16 12:28:00,Marseille,dm1trena,4,Lyon,Wboy,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9825609,2025-04-16 12:28:00,PSG,Bomb1to,5,Lille,Arcos,4,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9825572,2025-04-16 12:40:00,PSG,Bomb1to,1,Monaco,Jekunam,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9825571,2025-04-16 12:40:00,Marseille,dm1trena,3,Lille,Arcos,5,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9825871,2025-04-16 12:52:00,Monaco,Jekunam,4,Marseille,dm1trena,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9825872,2025-04-16 12:52:00,Lille,Arcos,2,Lyon,Wboy,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9825874,2025-04-16 13:04:00,Marseille,dm1trena,3,PSG,Bomb1to,5,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9825873,2025-04-16 13:04:00,Lyon,Wboy,1,Monaco,Jekunam,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9825984,2025-04-16 13:16:00,PSG,Bomb1to,5,Lyon,Wboy,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9825985,2025-04-16 13:16:00,Monaco,Jekunam,2,Lille,Arcos,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9825986,2025-04-16 13:28:00,Lille,Arcos,3,PSG,Bomb1to,4,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9825987,2025-04-16 13:28:00,Lyon,Wboy,6,Marseille,dm1trena,4,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9826148,2025-04-16 13:38:37,Real Madrid,Maslja,3,Boca Juniors,Bolec,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
